id, name, design, latitude, longitude
8012538, 8.1, 31.315065, 121.3825, 呷哺呷哺(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
15871581, 7.9, 31.31533, 121.38536, Taco Taco(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
17150828, 7.3, 31.31441, 121.37623, 晨光烧饼(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
2091601, 7.2, 31.314781, 121.38642, 托馥咖啡(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
2645704, 7.1, 31.315338, 121.38608, 含香居(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
13780527, 7.0, 31.314941, 121.38709, Luna's Cafe(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
16344487, 7.0, 31.30936, 121.37199, 君品酒家(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
17933690, 6.9, 31.31413, 121.38147, 三村皮肚面(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
18084029, 6.9, 31.314877, 121.38676, 香逸火锅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
18396316, 6.9, 31.314932, 121.38705, 台湾卤肉饭(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
18514575, 6.9, 31.314754, 121.38494, 草本龙虾烤猪蹄(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
2510737, 6.8, 31.314926, 121.386894, 大学路(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
2575198, 6.8, 31.311195, 121.38413, 中西茶坊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
3089146, 6.8, 31.3151, 121.38702, 锅王(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
15131811, 6.8, 31.315125, 121.38588, 云南特色烤茄(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
15610948, 6.8, 31.309282, 121.38124, 钱雨东北饭店(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
2468014, 6.7, 31.314556, 121.381905, 轩乐诗火锅店(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
6075617, 6.7, 31.314386, 121.37892, 沁湘阁(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
566119, 6.6, 31.315224, 121.38644, 韩亭苑(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
566119, 6.6, 31.315224, 121.38644, 韩亭苑(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
2340682, 6.6, 31.315338, 121.38608, 东北人家菜馆(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
4218874, 6.6, 31.314608, 121.37939, 萍水湘红农家特色土菜(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
18532805, 6.5, 31.314754, 121.38494, 星角甜品(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)
